id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9
1,0.0028250213,0.00010237375,0.014964164,0.7978376,0.005626083,0.066047914,0.104107015,8.2708866e-05,0.008387194,1.9888214e-05
2,9.583036e-06,0.00025105954,1.5359257e-08,1.995475e-09,4.1627444e-09,2.2577065e-11,8.679649e-08,2.3146092e-10,0.9997379,1.2881084e-06
3,0.0006699708,0.0038631635,0.0005287247,2.1219382e-06,4.5853692e-05,2.797316e-07,0.0001425476,3.898021e-06,0.9947271,1.638879e-05
4,0.56497425,0.00044123712,0.017239284,0.00011394109,8.054583e-05,1.6980409e-06,0.00016105502,2.8775578e-06,0.41638362,0.0006014432
5,1.6460404e-05,0.00025188332,0.04812053,0.0010894059,0.022638142,0.00019094485,0.9264963,1.3845295e-06,0.0011387282,5.6059947e-05
6,1.400331e-05,4.258425e-06,0.0002578765,0.0045959423,0.0010687496,0.021404888,0.97238874,0.00023481243,1.1071584e-05,1.9639203e-05
7,0.0008790258,0.8056481,0.0007371804,0.0113471,0.00010074009,0.0055400482,0.0032571154,0.0018917208,0.00015601637,0.1704429
8,0.011391104,7.1673545e-05,0.04846631,0.051265664,0.23162857,0.03780904,0.60478663,0.0077257394,0.0045047426,0.002350464
9,0.0012775736,1.6001884e-05,0.013181376,0.77667105,0.021418668,0.004039814,0.18293175,0.00038281328,7.514613e-05,5.71509e-06
10,9.212644e-05,0.86687374,6.619088e-06,0.00013457052,0.000117151285,6.371992e-07,0.029342297,4.926851e-06,0.004807338,0.09862064
11,0.7483409,2.7514958e-05,0.019119943,0.012511883,0.2004704,0.0085245585,0.0013437091,0.0031839218,0.0062021385,0.00027514473
12,5.241871e-11,1.40691145e-05,5.936369e-13,2.5875589e-12,7.325584e-14,3.0624472e-15,8.409091e-12,5.177354e-11,6.43312e-10,0.99998593
13,0.00071910606,4.788123e-05,0.122273155,0.17439726,0.04067656,0.57620347,0.049536806,0.033486344,0.002613197,4.6304718e-05
14,9.696249e-08,1.3558755e-06,6.6997313e-06,9.132995e-05,2.2064162e-06,0.00090988,5.619902e-07,0.99898714,5.497122e-08,6.6276755e-07
15,1.8498639e-07,1.586057e-05,1.529608e-07,9.0596195e-08,2.6899155e-08,9.7971995e-09,1.8219497e-08,3.818685e-06,9.823776e-06,0.99996996
16,0.02360555,0.0005892368,7.389692e-05,9.348227e-05,0.0003172085,8.4423266e-07,0.005190588,9.932523e-07,0.9699238,0.00020437439
17,0.0004181376,6.45669e-06,0.004159962,0.057601497,0.0005335644,0.9269423,0.00093847705,0.009027523,0.00034443938,2.759278e-05
18,0.00092427625,0.00031042052,0.002655755,0.08441896,0.0032438186,0.025535174,0.0025911229,0.8796952,1.4808374e-05,0.00061041396
19,3.3549168e-05,4.1206562e-07,5.216638e-09,6.267373e-09,6.6370105e-09,3.872859e-11,1.7582144e-08,1.1469449e-09,0.9999622,3.787865e-06
20,1.387723e-08,8.1673946e-08,4.3102835e-05,6.47099e-07,1.3198854e-06,1.1993534e-08,0.9999515,2.8562057e-09,3.2313935e-06,1.5344477e-07
21,0.001779524,0.015462377,0.004082861,0.021359956,0.010525165,0.12123158,0.0155719295,0.41613916,0.00042993698,0.3934175
22,0.9927241,1.2130545e-06,0.0070531094,8.8110486e-05,4.6886074e-05,2.8932818e-05,3.685124e-05,2.8079444e-07,1.9662093e-05,1.1035573e-06
23,0.0103546,1.6227565e-07,0.007954486,0.0009302734,0.9791387,9.337554e-05,0.00082553667,3.0882518e-06,0.00069910375,7.677303e-07
24,4.4443036e-07,0.0001201524,1.1561864e-08,4.7388497e-08,1.1693824e-08,7.675157e-09,1.5724389e-08,3.2745152e-07,8.251902e-08,0.9998789
25,0.00043223423,1.1069591e-06,0.015757523,0.007647304,0.94946736,0.023790576,0.0005810601,0.0012631572,0.001049865,9.679994e-06
26,0.024021843,2.716003e-05,0.651508,0.23774534,0.011033138,0.032172147,0.029750701,0.0020282008,0.00038652046,0.011326985
27,0.018039398,4.564711e-05,0.027006011,0.08634451,0.638299,0.2093284,0.003915953,0.015846612,0.00094814016,0.0002263457
28,0.97097576,0.00052391575,0.002400595,0.0022954023,0.021108693,0.000280552,0.0008173764,0.00039346516,8.0386926e-05,0.0011237641
29,2.7265374e-05,0.0013439091,2.9065333e-05,0.00028698082,5.525568e-06,2.4906247e-05,1.9116289e-05,0.00010293211,2.5698705e-06,0.9981577
30,9.559436e-05,5.8468354e-06,0.0019199214,0.00043591027,0.0014732428,0.000520203,0.9953447,6.5662025e-05,8.9819725e-05,4.9152233e-05
31,0.0003982474,0.000111603134,0.0033448404,0.0032195956,0.0048049535,0.00084699463,0.98641706,0.0003275247,3.1867854e-05,0.00049745094
32,1.2358315e-06,6.270814e-07,0.00029949125,0.00546223,0.00038447388,0.99361455,0.00016469184,7.1867136e-05,2.9756837e-08,8.0499956e-07
33,0.0009038611,3.7761126e-06,0.39895555,0.008149885,0.28931996,0.0016549239,0.22100495,0.00019758924,0.07979484,1.4645223e-05
34,0.0003265608,0.0008301435,0.0147066,0.13669373,0.0039828233,0.7933155,0.04930961,3.1633645e-05,0.00061744766,0.00018609971
35,3.2663575e-05,1.798178e-06,1.9352756e-08,2.6655337e-07,1.4332722e-09,6.9269297e-09,8.5015195e-09,8.15681e-06,1.0256977e-05,0.99994683
36,4.0859988e-05,0.017947538,0.012320319,0.654198,0.00071501354,0.005127548,0.07992761,0.00027571118,0.22108397,0.008363474
37,0.00013344792,4.1482608e-07,0.021476211,0.0038701517,0.84763294,0.045715444,0.0037594314,0.07738868,1.767944e-05,5.708275e-06
38,0.001240275,0.83213127,3.0828374e-05,3.460545e-05,0.00012591857,6.509654e-06,8.055714e-05,0.00074110867,0.0004426029,0.1651663
39,1.3271635e-07,8.363573e-06,1.1732243e-09,7.870989e-11,2.591733e-11,4.0592515e-10,9.208436e-08,5.097736e-11,8.859856e-08,0.9999913
40,5.6008975e-07,6.987891e-06,0.00076747197,0.0008717913,0.00018998492,0.99798167,0.00016419934,1.2670668e-05,1.6323849e-06,2.9902733e-06
41,0.13795285,2.7756661e-05,0.078557454,0.00010900876,0.7828631,2.265934e-05,5.7278263e-05,9.464511e-06,0.0003993915,1.0481219e-06
42,3.3734102e-07,1.7404253e-05,2.2557364e-05,7.892234e-06,2.6316043e-06,1.0255542e-05,0.99990046,1.310866e-07,6.9576695e-06,3.148286e-05
43,0.00015442919,9.081966e-05,0.0140013555,0.2962366,0.0029057176,0.15155192,0.00086312817,0.50580245,0.0005148406,0.027878607
44,4.9148184e-08,6.2024646e-06,6.5737636e-06,6.8380186e-06,1.6200491e-06,1.781727e-05,0.99992037,2.532499e-09,4.011349e-05,3.4029495e-07
45,0.9952551,6.3658813e-06,0.0039807847,1.3068014e-06,0.00026409372,4.602535e-06,2.3949278e-07,1.0194627e-05,0.00041506568,6.2262225e-05
46,2.024968e-05,0.00052111124,9.148683e-08,9.0940894e-08,1.6451305e-07,4.5950287e-08,7.5606344e-08,8.8015095e-06,1.9018387e-05,0.99943036
47,2.8079087e-06,1.2444242e-05,0.006364924,0.94363856,0.00016325989,0.021760343,0.027365297,0.0006880414,3.3296822e-06,9.980808e-07
48,0.061800342,0.00240721,0.086111456,0.035533063,0.08646956,0.008678404,0.027291425,0.018881295,0.47103882,0.20178846
49,1.1920607e-07,1.2411982e-07,3.3115513e-05,3.2495805e-06,0.04078491,0.0037550502,4.5305324e-06,0.9554188,9.074372e-09,2.8367491e-08
50,0.0022640459,0.0003797196,0.022238016,0.013222666,0.15964532,0.028099049,0.77123827,0.0005748503,0.0010181194,0.0013199075
51,0.0002966348,1.7364406e-05,4.9209984e-06,5.8962164e-06,2.9634498e-06,4.7167097e-07,0.00034211882,0.00015750116,2.4301202e-05,0.9991478
52,2.4943176e-05,2.5937454e-06,6.4894275e-06,1.741581e-06,1.5175823e-05,1.436155e-07,3.5445388e-05,4.3579093e-06,0.9998399,6.9175556e-05
53,0.0045154514,1.43298475e-05,0.18889208,0.07111688,7.899702e-05,0.028548645,0.001395289,0.7049996,7.77069e-05,0.000360942
54,0.00010874014,3.5977282e-05,0.042495813,0.5233501,0.0151520725,0.008947652,0.40808937,0.0005391456,0.00014993394,0.0011312062
55,0.00022541346,3.3281762e-07,6.9821866e-08,1.8249549e-09,7.539611e-09,1.1164808e-10,8.757682e-10,2.6194463e-10,0.99977416,4.820818e-08
56,0.00053549657,3.4442002e-07,0.00030308403,1.1249431e-05,1.0221616e-05,1.2456444e-06,1.5504927e-06,2.4392625e-08,0.9991297,7.1889526e-06
57,0.00025663685,2.5267202e-06,0.0068636495,0.00077436253,0.0011595179,0.0068202224,0.00022955444,0.9837413,2.777687e-05,0.00012438168
58,0.0002672171,0.00021318055,0.0015959133,0.508637,0.0061074696,0.23388556,0.00036386715,0.24767557,0.00095561263,0.0002986802
59,0.003964199,2.7482988e-06,0.29512742,0.4796025,0.013052185,0.14297149,0.06253009,0.0018551382,0.0008686185,2.5669944e-05
60,0.0011560636,0.0026784898,0.007915955,0.04098742,0.12385495,0.011119101,0.8025009,0.009016454,0.0005067404,0.00026382288
61,3.1874814e-07,1.4786059e-07,8.917688e-07,2.9517712e-06,0.006324213,0.00019604093,1.2067535e-07,0.9934749,2.7450011e-09,3.8615855e-07
62,1.50607975e-05,6.774215e-07,0.0016510681,0.012992392,3.1009917e-05,0.98201066,0.0011497795,0.0021397497,4.2818688e-06,5.266437e-06
63,0.00067014055,7.765938e-05,0.0014249806,0.021261303,0.0028973464,0.010642953,0.9583419,0.0007811366,0.0036197808,0.00028286644
64,0.12884487,0.010181334,0.20117767,0.51801,0.005574164,0.018776294,0.002336938,0.00021774192,0.1139212,0.0009597535
65,0.002594914,0.0005164002,0.009353288,0.009433253,0.011947972,0.0035557512,0.9606537,0.00059643935,0.0012535453,9.468944e-05
66,7.0026115e-05,2.3670332e-06,0.96918654,0.0042043068,0.00029718314,0.00029886942,0.025526507,0.00013721501,5.5824738e-05,0.0002209885
67,3.610209e-05,0.9382907,4.1213855e-08,1.5815416e-06,5.011913e-06,1.8696545e-08,3.970806e-05,3.3669396e-09,0.06138336,0.00024347156
68,0.08694753,0.00014348082,0.89956605,0.00013199341,0.00033259668,0.00086825487,0.007274237,6.128039e-05,0.004639839,3.460121e-05
69,6.9529196e-06,0.00011927441,0.0057183676,0.8587591,0.011531135,0.04431838,0.0619457,0.014035437,0.0007358484,0.0028297661
70,0.044474702,0.00784752,0.023547195,0.09613696,0.111127846,0.007382038,0.02918349,0.6704844,0.001612476,0.008203411
71,0.25985715,0.00015208728,0.6260858,0.0022416129,0.033900924,0.0018343871,0.025439993,8.277868e-05,0.049640976,0.0007643925
72,0.000104400424,0.00020772386,0.016961541,0.1704177,0.017240506,0.054316673,0.7402648,0.0003165789,5.0049897e-05,0.000120097015
